Extracting links from main url...
Extracting individual faculty info...
Robert C. Webb                 ['Education', 'AB, Middlebury College', 'MA, Brown University', 'PhD, Tufts University']
Yvonne Wells                   ['Education', 'PhD, Clark University', 'MA, Clark University', 'BA, Indiana University']
Amy Agigian                    ['Education', 'PhD, Brandeis University', 'MA, Brandeis University']
Carolyn Boyes-Watson           ['Education', 'PhD, Harvard University', 'MA, Harvard University', 'BA, University of Pennsylvania']
Averil Clarke                  ['Education', 'PhD, University of Pennsylvania', 'MA, University of Pennsylvania', 'MDiv, Pacific School of Religion', 'BA, Williams College']
Erika Gebo                     ['Education', 'PhD, University of New Hampshire', 'MA, University of Massachusetts, Lowell', 'BA, Seton Hall University']
John Holley                    ['Education', 'PhD, University of Edinburgh, Scotland', 'BA, University of Kent at Canterbury, UK']
Keri Iyall Smith               ['Education', 'PhD, University of North Carolina, Chapel Hill', 'MA, University of North Carolina, Chapel Hill', 'BA, University of Washington']
Sheila Mahoney                 ['Education', 'EdD, Columbia University', 'MS, Harvard University', 'BS, Wheelock College']
Geraldine Manning              ['Education', 'PhD, Boston College', 'MA, Boston College', 'BA, Suffolk University']
Donald Morton                  ['Education', 'PhD, Notre Dame University', 'MA, University of Toledo', 'BA, University of Portland']
Maureen Norton-Hawk            ['Education', 'PhD, Northeastern University', 'MS, University of Alabama, Tuscaloosa', 'MS, Virginia Commonwealth University', 'BA, Mary Washington College']
James Ptacek                   ['Education', 'PhD, Brandeis University', 'MA, University of New Hampshire', 'BA, University of Wisconsin-Madison']
Elizabeth Robinson             ['Education', 'EdD, University of Massachusetts, Amherst', 'MA, University of Massachusetts, Boston', 'BA, Lehigh University']
Susan Sered                    ['Education', 'PhD, Hebrew University of Jerusalem', 'MA, Hebrew University of Jerusalem', 'BA, University of Chicago']
Steven Spitzer                 ['Education', 'PhD, Indiana University', 'MA, University of Maryland', 'BA, University of Maryland']
Carmen Veloria                 ['Education']
Felicia Wiltz                  ['Education', 'PhD, Northeastern University', 'MEd, Northeastern University', 'BBA, Savannah State University']
Richard Chambers               ['Education', 'MFA, New York University']
Caitlin Langstaff              ['Education', 'MFA, Brandeis University', 'BFA, Marymount Manhattan College']
Marilyn Plotkins               ['Education', 'PhD, Tufts University', 'MA, Emerson College', 'BA, University of Pittsburgh']
Wesley Savick                  ['Education', 'MFA, Boston Univeristy', 'ABD, Norwestern University', 'MA, Marquette University', 'BA, Dartmouth College']
Barbara Abrams                 ['Education', 'PhD, Columbia University', 'MPhil, Columbia University', 'MA, University of Cincinnati']
Charles Cramer                 ['Education', 'PhD, University of Texas, Austin', 'MA, University of Texas, Austin']
Christopher Dakin              ['Education', 'PhD, University of Washington']
R. Harrison Kelton             ['Education', 'PhD, Boston University', 'MM, New England Conservatory of Music', 'BS, University of Nebraska']
Celeste Kostopulos Cooperman   ['Education', 'PhD, Brown University', 'MA, Brown University']
Tom McGrath                    ['Education', 'PhD, Harvard University', 'MA, Williams College', 'BA, Brandeis University']
Iani Moreno                    ['Education', 'PhD, University of Kansas', 'MA, University of Kansas', 'BA, Virginia Polytechnic Institute and State University']
Jay Rosellini                  ['Education', 'PhD, Indiana University', 'MA, University of Illinois, Urbana-Champaign', 'BA, University of Illinois, Urbana-Champaign']
Marjorie Salvodon              ['Education', 'PhD, Brown University', 'MA, Brown University', 'BA, Mount Holyoke College']
Building csv file...
